"probe_id","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","group"
"1634637_a_at","dUTPase",0.543042300846707,9.45383599703003,8.49966127519859,2.89148342588503e-07,8.02333731879548e-06,6.60943567781468,"female"
"1634638_at","Fem-1",-0.454791255224931,4.3482872013948,-3.57529942321422,0.0025945472762715,0.0136059380132533,-2.73978136926819,"female"
"1634644_at","CG42523",0.453470134697452,7.40031344632105,2.13321960693228,0.049056288538138,0.141251106103736,-5.57909413019215,"female"
"1634657_at","CG5011",-0.761367451644289,10.3686409324456,-11.3554514325904,5.61792406565245e-09,2.99075553068104e-07,10.7036319146698,"female"
"1634662_at","Cyp313a1",0.976957125031034,10.2504245090125,8.49311007949824,2.92072128901631e-07,8.07480373806529e-06,6.59897913673328,"female"
"1634664_at","Cyp309a2",-1.8773659858095,8.26553170891075,-25.0480415803782,4.43446136123351e-14,1.69887471741845e-11,22.6505747488719,"female"
"1634671_a_at","CG42598",-0.434044199834413,4.31544161533269,-4.82820726338951,0.000195339624189127,0.00164536735894771,-0.124733172914656,"female"
"1634674_at","Sid",-1.29443824761253,6.70602384454802,-11.7667555950169,3.3970838235661e-09,1.99942647901319e-07,11.2252300858537,"female"
"1634684_at","CG7272",-0.431712884177035,9.3158452066549,-6.78557479161277,4.840861910004e-06,7.93130071407148e-05,3.68431088130498,"female"
"1634690_at","tum",0.644839885094821,7.8152485913346,7.06588461293443,2.97380167426749e-06,5.3624633045402e-05,4.18933164257097,"female"
"1634691_a_at","CG30020",0.544676003974653,7.7216427778083,7.96617100637881,6.67448231503824e-07,1.5991755857725e-05,5.74020769721973,"female"
"1634697_at","ssp7",-0.591421271397197,11.8314148131709,-9.84465814102478,4.06829171658747e-08,1.55448114138641e-06,8.64783644310534,"female"
"1634699_a_at",NA,-1.88337665326807,10.1219279801033,-25.0306132464214,4.48204600416433e-14,1.69887471741845e-11,22.6401016782354,"female"
"1634702_at","CG7227",1.37616780942012,4.96402878257375,9.43435712165867,7.24410291398366e-08,2.55186316776614e-06,8.04819510781289,"female"
"1634705_at","CG10341",-0.538076278976843,7.78189351138198,-9.57528229713084,5.92982538838729e-08,2.1446956252045e-06,8.25627089429113,"female"
"1634724_at","CG12499",-0.459375498438324,7.73174334208417,-8.5010893568374,2.88515086015727e-07,8.01750426711152e-06,6.61171437009881,"female"
"1634727_a_at","thr",0.641863434536828,6.97540629484768,6.80948962948499,4.6418155040711e-06,7.7100514840627e-05,3.72781109499701,"female"
"1634731_at","Cyp4p3",-0.556856665388726,7.75720844403193,-6.52594547174761,7.67492659351455e-06,0.000116483190169315,3.20709009871673,"female"
